//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
607       "Add Min Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
608       "Add Hunt MP"                        0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
609	  "Add Max Physi Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
610	  "Add Critical Damage Rate"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
611	  "Add Restore MP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
612	  "Add Restore HP Rate"		       0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
613	  "Add Excellent Damage Rate"          0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
614	  "Add Double Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
615	  "Add Ignore Defense Rate"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
616	  "Add Restore SD Rate"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
617	  "Add Triple Damage Rate"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
618	  "Order of Protection"                0        30      0       0       0       60000   *      0        0          0           0               0              0                1       1       1       1       1       1       1       1       1       1       1
619	  "Order of Restraint"                 0        30      0       0       0       60000   *      0        0          0           0               0              0                1       1       1       1       1       1       1       1       1       1       1
620	  "Order of Tracking"                  0        30      0       0       0       120000  *      0        0          0           0               0              0                1       1       1       1       1       1       1       1       1       1       1
621	  "Order of Weaken"                    0        30      0       0       0       60000   *      0        0          0           0               0              0                1       1       1       1       1       1       1       1       1       1       1
623	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
624	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
625	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
626	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       3
627	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
628	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       3
629	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       3
630	  "Add Melee Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       3       0
631	  "Add Rush"                           0        100     100     5       0       5000    4      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       3       0
632	  "Add Iron Defense"                   0        64      29      0       0       30000   *      134      0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
633	  "Add Iron Defense Improved"          0        70      31      0       0       30000   *      165      0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
634	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
635	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
636	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
637	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
638	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
639	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
640	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
641	  "Add Range Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
642	  "Add Illusion"                       0        1000    300     1       0       120000  *      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
643	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
644	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
645	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
646	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
647	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
648	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
649	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
650	  "Add Range Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
651	  "Add Shadow Step"                    0        150     100     5       0       3000    *      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
652	  "Add Evasion"                        0        200     200     0       0       60000   *      214      0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
653	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
654	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
655	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
656	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
657	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
658	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
659	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
660	  "Add Range Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
661	  "Add Paralyze"                       0        500     300     5       0       30000   *      209      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
662	  "Add Paralyze Improved"              0        650     390     5       0       30000   *      210      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
663	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
664	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
665	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
666	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
667	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
668	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
669	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
670	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
671	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
672	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
673	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
674	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
675	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
676	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
677	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
678	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
679	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
680	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
681	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
682	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
683	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
685	  "Add GL Wing Defense"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
686	  "Add GL Wing Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
687	  "Add Spin Step Improved"             100      15      0       2       2       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
688	  "Add Harsh Strike Improved"          100      15      0       3       0       500     1      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
689	  "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
690	  "Add Spin Step Enhanced"             100      20      0       2       2       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
691	  "Add Harsh Strike Enhanced"          100      20      0       3       0       500     1      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
692	  "Add Magic Pin Improved"             80       30      20      2       0       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
693	  "Add Obsidian Improved"              0        50      50      0       5       0       *      220      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
694	  "Add Magic Pin Enhanced"             80       35      20      2       0       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
695	  "Add Magic Pin Mastered"             80       40      22      3       0       500     2      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
696	  "Add Breche Improved"                400      45      25      0       3       500     1      83       0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
697	  "Add Breche Enhanced"                400      45      25      0       3       500     1      83       0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
698	  "Add Breche Mastered"                400      50      30      0       4       500     1      83       0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
699	  "Add Shining Peak Improved"          70       70      25      0       4       500     4      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
700	  "Add Burst"                          0        200     50      0       0       60000   *      219      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
701	  "Add Burst Improved"                 0        210     52      0       0       40000   *      226      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
702	  "Add Lance Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
703	  "Add Circle Shield Improved"         0        100     50      0       0       0       *      221      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
704	  "Add Shield Defense"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
705	  "Add Lance Mastery"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
706	  "Add Circle Shield Enhanced"         0        100     50      0       0       0       *      222      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
707	  "Add Shield Mastery"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
708	  "Add Wrath Improved"                 0        110     50      0       0       60000   *      223      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
709	  "Add Wrath Enhanced"                 0        130     60      0       0       40000   *      224      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
710	  "Add Wrath Mastered"                 0        150     80      0       0       40000   *      225      0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
711	  "Add GL Damage Multiplier Rate"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
712	  "Add GL Damage Multiplier Rate"      0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
713	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
714	  "Add Parry Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
715	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
716	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
717	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
718	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
719	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       3       0       0       0
720	  "Elemental Immunity"                 0        300     200     0       0       500     *      243      0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
721	  "Debuff Immunity"                    0        300     200     0       0       500     *      244      0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
722	  "Berserker"                          0        500     300     0       0       500     *      245      0          0           0               0              0                0       0       0       0       0       0       0       0       0       0       0
723	  "Fire Blow"                          120      17      17      3       2       0       1      0        0          0           0               0              0                0       3       0       0       0       0       0       0       0       0       0
724	  "Meteor Strike"                      100      92      17      7       2       0       3      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
725	  "Meteor Shower"                      105      105     20      0       6       500     3      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
726	  "Soul Seeker"                        125      90      16      7       2       0       5      0        0          0           0               0              0                3       0       0       0       0       0       0       0       0       0       0
727	  "Focus Shot"                         110      12      9       7       0       0       4      0        0          0           0               0              0                0       0       3       0       0       0       0       0       0       0       0
729	  "Fire Beast"                         100      95      11      7       2       500     1      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
730	  "Aqua Beast"                         100      95      11      7       2       500     2      0        0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
731	  "Aqua Blood"                         330      19      28      3       2       0       2      86       0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
732	  "Fire Blood"                         330      19      28      3       2       0       1      157      0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
733	  "Dark Blast"                         120      92      17      7       2       0       5      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
734	  "Meteor Impact"                      120      92      17      7       2       0       3      0        0          0           0               0              0                0       0       0       3       0       0       0       0       0       0       0
737	  "Wind Soul"                          85       60      17      6       2       0       4      0        0          0           0               0              0                0       0       0       0       3       0       0       0       0       0       0
739	  "Dark Phoenix Shot"                  650      30      10      7       2       600     5      132      0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
740	  "Archangel Will"                     0        100     150     6       6       90000   *      246      0          0           0               0              0                1       1       1       1       1       1       1       1       1       1       1
743       "Add Max HP"                         0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
744       "Add Phoenix Shot Improved"          0        30      0       4       3       1200    4      132      0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
745       "Add Phoenix Shot Enhanced"          0        30      0       4       3       1200    4      132      0          0           0               0              0                0       0       0       0       0       0       3       0       0       0       0
746       "Add Elemental Defense"              0        0       0       0       0       0       *      0        0          0           0               0              0                3       3       3       3       3       3       3       3       3       3       3
748	  "Add Magic Arrow Improved"           45       35      12      0       8       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
749	  "Add Magic Arrow Enhanced"           45       42      18      0       8       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
750	  "Add Plasma Ball Improved"           100      130     45      0       4       4000    5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
751	  "Add Plasma Ball Enhanced"           100      135     55      0       5       4000    5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
752	  "Add Rune Mace Damage"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
753	  "Add Rune Mace Mastery"              0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
754	  "Add RW Wing Defense"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
755	  "Add RW Wing Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
756	  "Add Block Full Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
758	  "Add Block Part Damage Rate"         0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
759	  "Add Impenetrable Defense"           0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
760	  "Add Resist Stun Rate"               0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
761	  "Add Recover HP"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
762	  "Add Recover SD"                     0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
763       "Add Range Damage"                   0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
765       "Add Might Improved"                 0        60      0       7       0       60000   *      295      0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
766       "Add Might Enhanced"                 0        80      0       7       0       60000   *      296      0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
768       "Add Haste Improved"                 0        0       60      0       7       60000   *      298      0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
769       "Add Haste Enhanced"                 0        0       80      0       7       60000   *      299      0          0           0               0              0                0       0       0       0       0       0       0       0       3       0       0
//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
770	  "Darkness Improved"                  0        100     50      0       0       5000    *      302      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
771	  "Darkness Enhanced"                  0        100     50      0       0       5000    *      303      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
772	  "Lesser Damage Enhanced"             0        50      15      0       5       30000   *      304      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
773	  "Lesser Defense Enhanced"            0        70      15      0       5       30000   *      305      0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
774	  "Sahamutt Improved"                  40       35      0       6       3       500     1      75       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
775	  "Neil Improved"                      65       60      4       6       4       800     3      74       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
776	  "Ghost Phantom Improved"             80       70      8       6       5       500     4      56       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
777	  "Ghost Phantom Enhanced"             80       70      8       6       5       500     4      56       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
778	  "Ghost Phantom Mastered"             80       70      8       6       5       500     4      56       0          0           0               0              0                0       0       0       0       0       3       0       0       0       0       0
//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Type   Effect   ReqLevel   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
779	  "Sword Inertia Improved"             10       7       5       0       6       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
780	  "Sword Inertia Enhanced"             10       10      7       0       6       0       5      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
781	  "Bat Flock Improved"                 90       25      9       0       6       0       5      315      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
782	  "Bat Flock Enhanced"                 90       30      12      0       6       0       5      315      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
783	  "Add Short Sword Damage"             0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
784	  "Add Short Sword Mastery"            0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
785	  "Add SL Wing Defense"                0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
786	  "Add SL Wing Damage"                 0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
787	  "Demolish Improved"                  0        50      0       0       5       60000   *      319      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
788	  "Demolish Enhanced"                  0        50      0       0       5       60000   *      320      0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
789	  "Add Weapon Damage"                  0        0       0       0       0       0       *      0        0          0           0               0              0                0       0       0       0       0       0       0       0       0       3       0
